# {"t_start": 1586826608.8409224, "env_id": "HalfCheetah-v2"} 
r,l,t
1322.77086,1000,3132.399536
1231.668512,1000,3139.059531
1328.9411,1000,3141.220788
1331.747033,1000,3147.89133
1389.261769,1000,3150.035059
1338.399223,1000,3156.728434
1318.03649,1000,3158.881879
1354.397307,1000,3165.538127
1333.283793,1000,3167.680045
1372.24221,1000,3174.385405
1305.830407,1000,3176.532484
1248.771891,1000,3183.181405
1332.592484,1000,3185.336818
1297.586207,1000,3192.00104
1322.854969,1000,3194.146443
1281.026894,1000,3200.824872
1367.273394,1000,3202.986757
1378.317888,1000,3209.638879
1421.940749,1000,3211.787815
1321.735936,1000,3218.48406
1379.692837,1000,3220.622233
1403.504693,1000,3227.274037
1404.411799,1000,3229.42892
1347.732168,1000,3236.111852
1398.992116,1000,3238.255844
1360.193703,1000,3244.882412
1237.54368,1000,3247.050455
1443.339276,1000,3253.698431
1165.784141,1000,3255.839128
1324.483608,1000,3262.53454
1331.571956,1000,3264.684649
1239.966039,1000,3271.34101
1419.521867,1000,3273.496442
1429.527828,1000,3280.191139
1337.016595,1000,3282.353418
1285.69928,1000,3284.50008
1367.258999,1000,3291.165912
1367.905473,1000,3293.326718
1368.94157,1000,3299.987257
1371.473657,1000,3302.136792
1346.373285,1000,3308.804649
1369.005847,1000,3310.951761
1370.115755,1000,3317.605899
1303.673677,1000,3319.760204
1455.390883,1000,3326.440489
1348.714932,1000,3328.588236
1315.313979,1000,3335.246593
1389.617018,1000,3337.404387
1220.908552,1000,3344.067794
1335.849369,1000,3346.218323
1335.536439,1000,3352.943014
1367.205405,1000,3355.091864
1375.889912,1000,3361.723282
1451.102019,1000,3363.868347
1354.372869,1000,3370.560903
1421.729095,1000,3372.71401
1327.004633,1000,3379.36904
1311.080314,1000,3381.587895
1450.183449,1000,3388.244671
1334.253409,1000,3390.406205
1327.365406,1000,3397.11286
1394.638141,1000,3399.270909
1405.832773,1000,3405.931109
1345.840771,1000,3408.082831
1356.049257,1000,3414.805978
1415.707045,1000,3416.961151
1426.468343,1000,3423.677632
1440.064435,1000,3425.826233
1362.533202,1000,3432.493035
1364.510913,1000,3434.644488
1426.111947,1000,3441.590217
1397.890014,1000,3443.746211
1371.50716,1000,3450.397002
1295.958172,1000,3452.542447
1403.702149,1000,3459.206283
1332.586089,1000,3461.355705
1359.190425,1000,3463.502883
1462.023062,1000,3470.15031
1427.816223,1000,3472.312084
1427.192132,1000,3479.066064
1385.975056,1000,3481.235337
1334.52483,1000,3488.028085
1376.963035,1000,3490.177098
1336.569849,1000,3496.839838
1315.189866,1000,3498.994272
1434.815929,1000,3505.683688
1432.17331,1000,3507.825409
1351.982136,1000,3514.462709
1337.984975,1000,3516.620654
1346.954703,1000,3523.265647
1440.95649,1000,3525.408847
1365.057621,1000,3532.09264
1271.495144,1000,3534.246681
1473.330334,1000,3540.898233
1476.69327,1000,3543.044854
1444.958337,1000,3549.704101
1423.694077,1000,3551.853001
1406.904539,1000,3558.525641
1351.587673,1000,3560.674872
1404.181324,1000,3567.3391
