eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/policy_loss_o,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,906.88179501,218,0.01996715,0.2680664,5.358921,-0.014901148,0.0010728113,0.01963513,0.3690170645713806,169,346112,1578.433309807995,346112
1000.0,911.3596151200001,216,0.018291084,0.25395507,5.2997165,-0.015522334,-0.0050383913,0.02121805,0.4769495725631714,170,348160,1587.9062789839954,348160
1000.0,917.9396050600001,216,0.020832814,0.27856445,5.2752347,-0.018817415,-0.004268812,0.021031644,0.15576493740081787,171,350208,1597.3519520359987,350208
1000.0,923.36630567,217,0.022685606,0.30253905,5.254901,-0.018878493,0.004634925,0.02105909,0.24431931972503662,172,352256,1606.7718097670004,352256
1000.0,940.84481658,215,0.019108705,0.25385743,5.259256,-0.023121092,-0.000104853105,0.02216042,0.46931928396224976,173,354304,1616.2775911749923,354304
1000.0,944.4751952800001,218,0.018160693,0.25820312,5.2315135,-0.019662172,-0.006058982,0.021980716,0.19971352815628052,174,356352,1625.6564956479997,356352
1000.0,949.0300751000001,217,0.01711278,0.23686524,5.2349753,-0.020710569,-0.008691005,0.023567993,0.5191901624202728,175,358400,1635.0916308549931,358400
1000.0,953.69166281,215,0.02112293,0.29018554,5.2187977,-0.020819824,0.0076066023,0.02304542,0.3276851773262024,176,360448,1644.5939496599894,360448
1000.0,959.3730509600001,218,0.017191272,0.24487305,5.2034116,-0.014801314,-0.0011171962,0.023094635,0.11538916826248169,177,362496,1653.972311038,362496
1000.0,966.30120743,217,0.019963805,0.27216798,5.2210703,-0.023889758,-0.01408527,0.025541866,0.5694628953933716,178,364544,1663.3776826689864,364544
1000.0,970.5596018199999,217,0.021405695,0.29033202,5.1994753,-0.025161123,0.012864964,0.021723755,0.28777724504470825,179,366592,1672.809419704994,366592
1000.0,973.5408658899998,216,0.024184618,0.30214843,5.184544,-0.020057712,0.005158131,0.022486856,0.27923792600631714,180,368640,1682.252773987988,368640
1000.0,975.5830163500001,215,0.022121476,0.28383788,5.1599617,-0.020004315,-0.020897556,0.021199899,0.5261492133140564,181,370688,1691.7534401889861,370688
1000.0,980.8111359800002,218,0.025505457,0.32543945,5.162818,-0.016324082,0.0097288955,0.022107463,0.4674237370491028,182,372736,1701.1451698589954,372736
1000.0,985.7993621700001,218,0.02366186,0.3137207,5.134959,-0.017922686,-0.0047480473,0.022424549,0.3078339695930481,183,374784,1710.5169165569969,374784
1000.0,990.4686037199999,215,0.020457473,0.26811522,5.121309,-0.019861493,-0.005193729,0.022950098,0.3109722137451172,184,376832,1720.0301089619898,376832
1000.0,995.5583269399999,217,0.020723581,0.28720704,5.123649,-0.020666854,-0.0065466575,0.022934869,0.35913360118865967,185,378880,1729.4523761299934,378880
1000.0,1001.4027213500001,217,0.019182242,0.253125,5.0988584,-0.017823568,0.0015418886,0.021665987,0.1654999852180481,186,380928,1738.8728404349968,380928
1000.0,1002.4963964500001,216,0.019868275,0.26914063,5.1220083,-0.019944243,-0.008722854,0.024301514,0.5159316956996918,187,382976,1748.3430589069903,382976
1000.0,1007.0577031700002,218,0.020538442,0.28105468,5.0875216,-0.01569958,0.0034881034,0.0274341,0.13202792406082153,188,385024,1757.7256523319957,385024
1000.0,1011.14575395,216,0.021723595,0.28476563,5.0566897,-0.019932892,-0.0012918704,0.022006424,0.30024367570877075,189,387072,1767.1924311579933,387072
1000.0,1014.5580747099998,217,0.02006809,0.26655275,5.070077,-0.02391006,-0.008945231,0.019152174,0.2678534984588623,190,389120,1776.6066613009898,389120
1000.0,1018.19211992,217,0.01904006,0.2557617,5.0230703,-0.023444321,-0.015531585,0.022631334,0.5856404900550842,191,391168,1786.0108618999948,391168
1000.0,1019.47462938,215,0.0182674,0.24711914,5.018878,-0.014236647,0.006615038,0.021980707,0.23443615436553955,192,393216,1795.5208327099972,393216
1000.0,1023.4353102199999,216,0.016946534,0.23950195,5.005373,-0.020956647,-0.0006130644,0.022119079,0.3998175859451294,193,395264,1804.9789578619966,395264
1000.0,1028.3415300699999,216,0.02205698,0.2992676,5.0296874,-0.022171963,-0.007940282,0.022493744,0.2953449487686157,194,397312,1814.4539723069902,397312
1000.0,1032.3237958399998,213,0.01584241,0.22875977,4.970017,-0.018431269,-0.0003458857,0.022761153,0.2849416136741638,195,399360,1824.0268488329893,399360
1000.0,1036.17788756,213,0.01753269,0.23999023,4.9499345,-0.016832467,-0.009637805,0.022433262,0.40864330530166626,196,401408,1833.601411081996,401408
1000.0,1038.73541722,205,0.01707509,0.23793945,4.962065,-0.019582111,0.0010898623,0.021979254,0.43412965536117554,197,403456,1843.5538895770005,403456
1000.0,1043.06996973,204,0.021781417,0.29853517,4.998908,-0.015857376,-0.005755247,0.023258125,0.0396953821182251,198,405504,1853.5561281789996,405504
1000.0,1045.69844118,206,0.02094094,0.28271484,4.972721,-0.020193461,0.006829423,0.0229049,0.26087814569473267,199,407552,1863.481172904998,407552
1000.0,1049.5616513799998,216,0.020232864,0.27363282,4.975697,-0.018635677,-0.0047041164,0.021713208,0.126972496509552,200,409600,1872.9602661669924,409600
1000.0,1054.3043650399998,217,0.02180081,0.2772461,4.935076,-0.019783592,-0.005006742,0.02137957,0.1806659698486328,201,411648,1882.3713115309947,411648
1000.0,1056.46928845,217,0.019613389,0.25722656,4.9485493,-0.020777011,-0.0046424875,0.02059664,0.12666767835617065,202,413696,1891.7896382929903,413696
1000.0,1061.1626163100002,215,0.021545382,0.29052734,4.909309,-0.019417439,0.0018131344,0.02165238,0.05878251791000366,203,415744,1901.273425989988,415744
1000.0,1066.22938969,217,0.021478347,0.27998048,4.8966074,-0.018939536,-0.0042617577,0.022761421,0.30338335037231445,204,417792,1910.7054785029904,417792
1000.0,1069.00269228,212,0.023952156,0.3058594,4.8956766,-0.015830468,0.011855332,0.02133035,0.3490303158760071,205,419840,1920.3393627729965,419840
1000.0,1073.4524231300002,215,0.020955373,0.2866211,4.8741474,-0.019579727,-0.004364264,0.02157591,0.12992364168167114,206,421888,1929.8363518579863,421888
1000.0,1077.8892306300002,217,0.01853237,0.25551757,4.841963,-0.02115828,0.0047420776,0.022881666,0.32695436477661133,207,423936,1939.2330750999972,423936
1000.0,1082.55570034,216,0.022279432,0.29067382,4.8495035,-0.015718902,-0.0019087929,0.02217266,0.038974881172180176,208,425984,1948.6841798589885,425984
1000.0,1088.7024335,216,0.019906703,0.2833496,4.822571,-0.016690413,-0.0032569512,0.029148465,0.12750375270843506,209,428032,1958.1463275519927,428032
1000.0,1093.05315659,217,0.019213684,0.26166993,4.837534,-0.018998198,-0.003935221,0.021234836,0.0870937705039978,210,430080,1967.575319851996,430080
1000.0,1097.29646768,215,0.017879156,0.24541016,4.8352,-0.015224574,0.005371245,0.02229074,0.23258107900619507,211,432128,1977.0890293339908,432128
1000.0,1099.92829413,217,0.016333507,0.22416992,4.8229876,-0.021016512,-0.009844383,0.02267505,0.467473566532135,212,434176,1986.5065321879956,434176
1000.0,1105.6548003,217,0.020880725,0.2661621,4.8301196,-0.016040444,0.0063592657,0.022526924,0.26290178298950195,213,436224,1995.9152480099874,436224
1000.0,1108.98136866,216,0.019414468,0.25556642,4.8240137,-0.015655847,0.00079136324,0.023069162,0.24384087324142456,214,438272,2005.3658086099895,438272
1000.0,1112.32403688,218,0.01946791,0.27163085,4.825311,-0.01816175,-0.00061157736,0.02245177,0.25360190868377686,215,440320,2014.7424487569951,440320
1000.0,1114.83057825,219,0.020261671,0.2803711,4.7862916,-0.02001365,0.0028361657,0.021226306,0.37991541624069214,216,442368,2024.05720934899,442368
1000.0,1116.4918802,219,0.022288235,0.29008788,4.7535963,-0.019393386,-0.00381994,0.022308271,0.08160853385925293,217,444416,2033.4046169179928,444416
1000.0,1120.30846279,220,0.017733706,0.23706055,4.7342963,-0.017428111,0.008745094,0.0227307,0.16572946310043335,218,446464,2042.693124115991,446464
1000.0,1124.02564355,219,0.019535413,0.2649414,4.724221,-0.017225243,-0.0009766141,0.021525774,0.187636137008667,219,448512,2052.0287664239877,448512
1000.0,1126.7942773900002,220,0.019540625,0.253125,4.729477,-0.016396226,-0.0037219166,0.021848714,0.21703124046325684,220,450560,2061.3108936849894,450560
1000.0,1128.74979603,219,0.018696167,0.25810546,4.7363844,-0.016758692,-0.0082707675,0.021177806,0.2787500023841858,221,452608,2070.6217956170003,452608
1000.0,1131.95190694,218,0.019971576,0.26401368,4.7530527,-0.014989215,-0.0076125674,0.022429299,0.4702257513999939,222,454656,2080.010907663993,454656
1000.0,1134.7217101600002,220,0.02129822,0.2951172,4.7778177,-0.024913456,0.0022191366,0.020393183,0.032752394676208496,223,456704,2089.29719001599,456704
1000.0,1136.63223154,222,0.026528012,0.32797852,4.8239074,-0.014460308,0.00115444,0.019897543,0.1973416805267334,224,458752,2098.495106232993,458752
1000.0,1138.9579132600002,222,0.02044375,0.2840332,4.822526,-0.012307038,-0.0010040117,0.020176316,0.13564449548721313,225,460800,2107.716282731999,460800
1000.0,1140.5951159699998,223,0.020967154,0.27871093,4.802931,-0.020410039,-0.007767378,0.01902344,0.36106133460998535,226,462848,2116.8992449139914,462848
1000.0,1141.98323905,220,0.022480298,0.2932129,4.766163,-0.020303803,-0.011855928,0.021118153,0.4922010898590088,227,464896,2126.168649301995,464896
1000.0,1146.36906527,223,0.01744868,0.24609375,4.754578,-0.015257922,0.012965813,0.019220633,0.039536118507385254,228,466944,2135.3433357189933,466944
1000.0,1150.8663207700001,223,0.02013977,0.27041015,4.790442,-0.02068236,-0.005256586,0.020737164,0.05060392618179321,229,468992,2144.522907210994,468992
1000.0,1155.49397047,221,0.023562305,0.2935547,4.7514334,-0.011595729,0.0055878875,0.025709394,0.2973511219024658,230,471040,2153.7721694889915,471040
1000.0,1159.6555460299999,223,0.020773258,0.2852539,4.722468,-0.018130513,-0.002455891,0.020684863,0.11448860168457031,231,473088,2162.937044909995,473088
1000.0,1162.34013472,221,0.018277261,0.24746093,4.712109,-0.01691997,0.0018838808,0.020305574,0.16678011417388916,232,475136,2172.168120477989,475136
1000.0,1165.68274241,223,0.02005588,0.2619629,4.7066736,-0.022677934,-0.004313229,0.021264674,0.27818983793258667,233,477184,2181.337322249994,477184
1000.0,1169.1896639499998,223,0.015230496,0.20756836,4.699854,-0.01742904,0.0015941549,0.022192873,0.307181715965271,234,479232,2190.4859226049884,479232
1000.0,1171.0833601900001,221,0.0192644,0.2665039,4.6957965,-0.017865142,-0.0017647712,0.022021811,0.23412013053894043,235,481280,2199.7231828459917,481280
1000.0,1174.73859401,224,0.021626504,0.29365236,4.7360926,-0.021393428,-0.0035967093,0.020883517,0.4159806966781616,236,483328,2208.864627957999,483328
1000.0,1176.41554346,222,0.022667617,0.2840332,4.7009997,-0.016683128,-0.0005815194,0.022277435,0.30078285932540894,237,485376,2218.0667205069913,485376
1000.0,1178.59508456,223,0.019773804,0.26816407,4.697099,-0.01489711,-0.008584323,0.022343285,0.17845523357391357,238,487424,2227.2168804029934,487424
1000.0,1180.9638504700001,224,0.018076908,0.24453124,4.6896634,-0.01235717,-0.0038079116,0.020989824,0.15674424171447754,239,489472,2236.3533475529985,489472
1000.0,1183.28611596,223,0.021440102,0.28847656,4.6910315,-0.016266879,-0.007614395,0.021531116,0.10110169649124146,240,491520,2245.5254414019873,491520
1000.0,1186.86662944,224,0.019851882,0.25810546,4.687331,-0.014532464,0.004586399,0.02117715,0.08060300350189209,241,493568,2254.649625273989,493568
1000.0,1188.70863451,223,0.022310624,0.2857422,4.682511,-0.01271656,-0.0034254838,0.020384604,0.09746319055557251,242,495616,2263.8018239569938,495616
1000.0,1190.92705123,223,0.023655567,0.31342775,4.6641874,-0.013981076,-0.0039003592,0.019546831,0.07563334703445435,243,497664,2272.9740960309864,497664
1000.0,1191.7723167400002,223,0.01977985,0.26274413,4.658371,-0.020036269,-0.02035014,0.021185895,0.37100857496261597,244,499712,2282.146867699994,499712
1000.0,1194.2414364200001,222,0.021656971,0.2727539,4.658512,-0.016419146,0.0048777005,0.020144645,0.16573190689086914,245,501760,2291.3584664989903,501760
1000.0,1197.83370279,224,0.019682331,0.26787108,4.652016,-0.020587683,0.004017788,0.02153411,0.406660258769989,246,503808,2300.4953983629966,503808
1000.0,1197.5521321100002,222,0.016679738,0.23764649,4.6437845,-0.016823474,0.0022501422,0.019935608,0.11925989389419556,247,505856,2309.684632608987,505856
1000.0,1200.57060827,222,0.017047046,0.23398438,4.643934,-0.022640545,-0.003953797,0.021562198,0.13953423500061035,248,507904,2318.8958311489987,507904
1000.0,1202.47010091,223,0.01610948,0.23125,4.634864,-0.014456478,0.0030969207,0.019683836,0.03169363737106323,249,509952,2328.0491283259908,509952
1000.0,1205.60390876,221,0.017269706,0.2324707,4.66143,-0.01661987,0.00037029237,0.027955323,0.06610441207885742,250,512000,2337.2770027009974,512000
1000.0,1207.6356508300003,223,0.02020008,0.26279297,4.646361,-0.021666804,-0.008445267,0.01980943,0.2580620050430298,251,514048,2346.4355945879943,514048
1000.0,1205.97682051,223,0.016979445,0.24453124,4.623644,-0.018712338,0.0027567162,0.020838818,0.258880615234375,252,516096,2355.5976168449997,516096
